manufacturer	catalog_number	catalog_number_partialvalue	master_upc	application	color	height	length	material	size	voltage_rating	weight	type	availability	url	pid	title	description	brand	thumb_image	price	sale_price	category_paths
Legrand-Pass & Seymour	ASPU1532-M4	['ASP', 'ASPU', 'ASPU1', 'ASPU15', 'ASPU153', 'ASPU1532', 'ASPU1532-', 'ASPU1532-M', 'ASPU1532-M4']	78500702284		Magnesium				1.5 (D) x .089 (W) x 1.77 (H)	120 V	0.17	Push 15A Switch, Magnesium	True	https://pacific.bloomreach.com/supplyglobal/products/4895068___4895068	4895068	PS ASPU1532-M4 PUSH SWITCH 2MOD 15A	PUSH SWITCH 2MOD 15A SP/3W MG	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4895068.jpg	8.83	5.56	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703100000', 'name': 'Wall Pushbutton Switch'}]]
Legrand-Pass & Seymour	ASTH1532-M2	['AST', 'ASTH', 'ASTH1', 'ASTH15', 'ASTH153', 'ASTH1532', 'ASTH1532-', 'ASTH1532-M', 'ASTH1532-M2']	78500702274		Magnesium				1.5 (D) x .089 (W) x 1.77 (H)	120 V	0.14	Touch 15A Switch, Magnesium	True	https://pacific.bloomreach.com/supplyglobal/products/4895072___4895072	4895072	PS ASTH1532-M2 TOUCH SWITCH 2MOD	Pass & Seymour ASTH1532M2 1-Pole 3-Way 15 Amp 120 VAC Magnesium Touch Switch	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4895072.jpg	10.0	6.3	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703020000', 'name': 'Dimmer Switches'}, {'id': 'NA_240703020300', 'name': 'Residential Dimmers'}]]
Legrand-Pass & Seymour	ASTH1532-W2	['AST', 'ASTH', 'ASTH1', 'ASTH15', 'ASTH153', 'ASTH1532', 'ASTH1532-', 'ASTH1532-W', 'ASTH1532-W2']	78500702282		White				1.5 (D) x .089 (W) x 1.77 (H)	120 V	0.14	Touch 15A Switch, White	True	https://pacific.bloomreach.com/supplyglobal/products/4895073___4895073	4895073	PS ASTH1532-W2 TOUCH SWITCH 2MOD	Pass & Seymour ASTH1532W2 1-Pole 3-Way 15 Amp 120 VAC White Touch Switch	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4895073.jpg	6.49	4.09	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703020000', 'name': 'Dimmer Switches'}, {'id': 'NA_240703020300', 'name': 'Residential Dimmers'}]]
Legrand-Pass & Seymour	ASTP1532-W4	['AST', 'ASTP', 'ASTP1', 'ASTP15', 'ASTP153', 'ASTP1532', 'ASTP1532-', 'ASTP1532-W', 'ASTP1532-W4']	78500702285		White				1.5 (D) x .089 (W) x 1.77 (H)	120 V	0.25	SofTap 15A Switch, White	True	https://pacific.bloomreach.com/supplyglobal/products/4895078___4895078	4895078	PS ASTP1532-W4 TAP SWITCH 2MOD 15A	Pass & Seymour ASTP1532W4 120 VAC 15 Amp 1-Pole 3-Way White Dimmer Switch	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4895078.jpg	10.33	6.51	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703020000', 'name': 'Dimmer Switches'}, {'id': 'NA_240703020300', 'name': 'Residential Dimmers'}]]
Legrand-Pass & Seymour	ASWV1532-M2	['ASW', 'ASWV', 'ASWV1', 'ASWV15', 'ASWV153', 'ASWV1532', 'ASWV1532-', 'ASWV1532-M', 'ASWV1532-M2']	78500702271		Magnesium				1.5 (D) x .089 (W) x 1.77 (H)	120 V	0.28	Wave 15A Switch, Magnesium	True	https://pacific.bloomreach.com/supplyglobal/products/4895088___4895088	4895088	PS ASWV1532-M2 WAVE SWITCH 2MOD 15A	Pass & Seymour ASWV1532M2 1-Pole 3-Way 15 Amp 120 VAC Magnesium Wave Switch	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4895088.jpg	6.68	4.21	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703020000', 'name': 'Dimmer Switches'}, {'id': 'NA_240703020300', 'name': 'Residential Dimmers'}]]
Schneider Electric	9001K3L35GH13	['900', '9001', '9001K', '9001K3', '9001K3L', '9001K3L3', '9001K3L35', '9001K3L35G', '9001K3L35GH', '9001K3L35GH1', '9001K3L35GH13']	78590102856						30-MM	600V	0.43	ILLUMINATED PUSH-BUTTON	True	https://pacific.bloomreach.com/supplyglobal/products/4896529___4896529	4896529	SQD 9001K3L35GH13 PUSH BUTTON	Schneider Electric 9001K3L35GH13 30 mm 10 Amp 600 Volt Push Button	Schneider Electric	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4896529	6.81	4.29	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040100', 'name': 'Illuminated'}]]
Schneider Electric	9001K1L1GH13	['900', '9001', '9001K', '9001K1', '9001K1L', '9001K1L1', '9001K1L1G', '9001K1L1GH', '9001K1L1GH1', '9001K1L1GH13']	78590184879	ILLUMINATED PUSH-BUTTON					30-MM	600V	0.590	ILLUMINATED PUSH-BUTTON	True	https://pacific.bloomreach.com/supplyglobal/products/4897888___4897888	4897888	SQD 9001K1L1GH13 PUSH BUTTON 600VAC	Schneider Electric 9001K1L1GH13 30 mm 10 Amp 600 Volt Push Button	Schneider Electric	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4897888	13.95	8.79	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040100', 'name': 'Illuminated'}]]
Greenlee	08-03-54B	['08-', '08-0', '08-03', '08-03-', '08-03-5', '08-03-54', '08-03-54B']	78331038098	For Aggressive Chip Removal In Many Types Of Woods	Green						0.650	Type B, Combination With Screw Point	True	https://pacific.bloomreach.com/supplyglobal/products/4898679___4898679	4898679	GRN 08-03-54B BIT,D'VERSIBIT	Greenlee 08-03-54B BIT,D'VERSIBIT .500X.187X54.00 B	Greenlee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4898679.jpg	8.27	5.21	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_251500000000', 'name': 'Power Tools & Attachments'}, {'id': 'NA_251501000000', 'name': 'Attachments'}, {'id': 'NA_251501090000', 'name': 'Drill Bits'}, {'id': 'NA_251501090400', 'name': 'Auger Bits'}]]
Milwaukee Electric Tool	48-11-1865	['48-', '48-1', '48-11', '48-11-', '48-11-1', '48-11-18', '48-11-186', '48-11-1865']	04524253338								2.560		True	https://pacific.bloomreach.com/supplyglobal/products/4902091___4902091	4902091	MILW 48-11-1865 M18 RedLithium High	Milwaukee 48-11-1865 M18&#8482; REDLITHIUM&#8482; HIGH OUTPUT&#8482; XC 6.0Ah Battery Pack	Milwaukee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4902091.jpg	8.16	5.14	[[{'id': 'NA_220000000000', 'name': 'Safety Products'}, {'id': 'NA_220900000000', 'name': 'Personal Protective Equipment'}, {'id': 'NA_221100000000', 'name': 'Safety Apparel'}, {'id': 'NA_221107000000', 'name': 'Flame Resistant & Arc Flash Clothing'}, {'id': 'NA_221107030000', 'name': 'Arc Flash Kits'}]]
Milwaukee Electric Tool	2997-23	['299', '2997', '2997-', '2997-2', '2997-23']	04524252742								22.320		True	https://pacific.bloomreach.com/supplyglobal/products/4902101___4902101	4902101	MILW 2997-23 M18 FUEL 3-Tool Combo	Milwaukee 2997-23 M18 FUEL&#8482; 3-Tool Combo Kit. Includes 1/2 Hammer Drill/Driver, 1/4 Impact Driver, and SAWZALL&#174; Reciprocating Saw	Milwaukee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4902101.jpg	13.81	8.7	[[{'id': 'NA_220000000000', 'name': 'Safety Products'}, {'id': 'NA_220900000000', 'name': 'Personal Protective Equipment'}, {'id': 'NA_221100000000', 'name': 'Safety Apparel'}, {'id': 'NA_221107000000', 'name': 'Flame Resistant & Arc Flash Clothing'}, {'id': 'NA_221107030000', 'name': 'Arc Flash Kits'}]]
Milwaukee Electric Tool	202B-21S	['202', '202B', '202B-', '202B-2', '202B-21', '202B-21S']	04524252002		Black			TOUGHSHELL� Stretch Polyester	S		6.500		True	https://pacific.bloomreach.com/supplyglobal/products/4902332___4902332	4902332	MILW 202B-21S M12 Heated Toughshell	Milwaukee 202B-21S M12&#8482; Heated ToughShell&#8482; Jacket Kit, Black - Small	Milwaukee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4902332.jpg	8.96	5.65	[[{'id': 'NA_220000000000', 'name': 'Safety Products'}, {'id': 'NA_220900000000', 'name': 'Personal Protective Equipment'}, {'id': 'NA_221100000000', 'name': 'Safety Apparel'}, {'id': 'NA_221109000000', 'name': 'Protection Clothing'}, {'id': 'NA_221109090000', 'name': 'Cold Environment Protection'}]]
Milwaukee Electric Tool	202B-21M	['202', '202B', '202B-', '202B-2', '202B-21', '202B-21M']	04524252003		Black			TOUGHSHELL� Stretch Polyester	M		6.755		True	https://pacific.bloomreach.com/supplyglobal/products/4902334___4902334	4902334	MILW 202B-21M M12 Heated Toughshell	Milwaukee 202B-21M M12&#8482; Heated ToughShell&#8482; Jacket Kit, Black - Medium	Milwaukee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4902334.jpg	10.56	6.65	[[{'id': 'NA_220000000000', 'name': 'Safety Products'}, {'id': 'NA_220900000000', 'name': 'Personal Protective Equipment'}, {'id': 'NA_221100000000', 'name': 'Safety Apparel'}, {'id': 'NA_221109000000', 'name': 'Protection Clothing'}, {'id': 'NA_221109090000', 'name': 'Cold Environment Protection'}]]
Schneider Electric	9001KXRC111	['900', '9001', '9001K', '9001KX', '9001KXR', '9001KXRC', '9001KXRC1', '9001KXRC11', '9001KXRC111']	78590152445						30MM	600V	0.440	PUSHBUTTON	True	https://pacific.bloomreach.com/supplyglobal/products/4908734___4908734	4908734	SQD 9001KXRC111 PUSH BUTTON 600VAC	Schneider Electric 9001KXRC111 30 mm 10 Amp 600 Volt Push Button	Schneider Electric	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4908734	8.9	5.61	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040200', 'name': 'Non-Illuminated'}]]
Rockwell Automation	2090-DANFCT-S05	['209', '2090', '2090-', '2090-D', '2090-DA', '2090-DAN', '2090-DANF', '2090-DANFC', '2090-DANFCT', '2090-DANFCT-', '2090-DANFCT-S', '2090-DANFCT-S0', '2090-DANFCT-S05']	82091919837	Kinetix 3 Drive			5 m			30 V	1.704	Motor Feedback Connector	True	https://pacific.bloomreach.com/supplyglobal/products/4915169___4915169	4915169	AB 2090-DANFCT-S05 TL-Series 5m	A-B 2090-DANFCT-S05 TL-Series 5m Feedback Cable	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4915169.jpg	11.12	7.01	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120200000000', 'name': 'Control System Connection Devices'}, {'id': 'NA_120203000000', 'name': 'Control System Connection Cables'}]]
Rockwell Automation	2090-DANPT-16S05	['209', '2090', '2090-', '2090-D', '2090-DA', '2090-DAN', '2090-DANP', '2090-DANPT', '2090-DANPT-', '2090-DANPT-1', '2090-DANPT-16', '2090-DANPT-16S', '2090-DANPT-16S0', '2090-DANPT-16S05']	82091923307	Kinetix 3 Drive			5 m			600 V	2.319	Motor Power Cable	True	https://pacific.bloomreach.com/supplyglobal/products/4915170___4915170	4915170	AB 2090-DANPT-16S05 TL-Series 5m	A-B 2090-DANPT-16S05 TL-Series 5m Power Cable	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4915170.jpg	14.94	9.41	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120200000000', 'name': 'Control System Connection Devices'}, {'id': 'NA_120203000000', 'name': 'Control System Connection Cables'}]]
Rockwell Automation	800T-FX2D1	['800', '800T', '800T-', '800T-F', '800T-FX', '800T-FX2', '800T-FX2D', '800T-FX2D1']	66246834989		Black						0.580	30mm Push-Pull Device	True	https://pacific.bloomreach.com/supplyglobal/products/4916507___4916507	4916507	AB 800T-FX2D1 30mm Push-Pull Device	A-B 800T-FX2D1 30mm Push-Pull Device 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4916507.jpg	12.52	7.89	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040200', 'name': 'Non-Illuminated'}]]
Milwaukee Electric Tool	6142-31S	['614', '6142', '6142-', '6142-3', '6142-31', '6142-31S']	04524250472					Fiberglass Reinforced Nylon		120 V	8.640		True	https://pacific.bloomreach.com/supplyglobal/products/4921638___4921638	4921638	MILW 6142-31S 4-1/2 SAG PADDLE	Milwaukee 6142-31S 4-1/2 Small Angle Grinder w/ Shroud Paddle, Lock-On	Milwaukee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4921638.jpg	11.72	7.39	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_251500000000', 'name': 'Power Tools & Attachments'}, {'id': 'NA_251503000000', 'name': 'Corded Power Tools'}, {'id': 'NA_251503400000', 'name': 'Sanders and Grinders'}, {'id': 'NA_251503400500', 'name': 'Grinders'}]]
Schneider Electric	9001KR9RH2	['900', '9001', '9001K', '9001KR', '9001KR9', '9001KR9R', '9001KR9RH', '9001KR9RH2']	78590139847						30-MM	600V	0.380	PUSH-BUTTON	True	https://pacific.bloomreach.com/supplyglobal/products/4923541___4923541	4923541	SQD 9001KR9RH2 PUSH BUTTON 600VAC	Schneider Electric 9001KR9RH2 30 mm 10 Amp 600 Volt Push Button	Schneider Electric	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4923541	10.1	6.37	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040200', 'name': 'Non-Illuminated'}]]
Milwaukee Electric Tool	203B-21XL	['203', '203B', '203B-', '203B-2', '203B-21', '203B-21X', '203B-21XL']	04524252485		Black			Polyester	XL		2.620		True	https://pacific.bloomreach.com/supplyglobal/products/4929784___4929784	4929784	MILW 203B-21XL M12 HEATED AXIS	Milwaukee 203B-21XL M12&#8482; Heated AXIS&#8482; Jacket Kit, Black - XLarge	Milwaukee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4929784.jpg	12.35	7.78	[[{'id': 'NA_220000000000', 'name': 'Safety Products'}, {'id': 'NA_220900000000', 'name': 'Personal Protective Equipment'}, {'id': 'NA_221100000000', 'name': 'Safety Apparel'}, {'id': 'NA_221109000000', 'name': 'Protection Clothing'}, {'id': 'NA_221109090000', 'name': 'Cold Environment Protection'}]]
Rockwell Automation	800H-FRXJT6D4	['800', '800H', '800H-', '800H-F', '800H-FR', '800H-FRX', '800H-FRXJ', '800H-FRXJT', '800H-FRXJT6', '800H-FRXJT6D', '800H-FRXJT6D4']	66207365261		Red						0.269	30mm Push-Pull Device	True	https://pacific.bloomreach.com/supplyglobal/products/4930095___4930095	4930095	AB 800H-FRXJT6D4 30mm Push-Pull	A-B 800H-FRXJT6D4 30mm Push-Pull Device 800H PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4930095.jpg	10.1	6.36	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040200', 'name': 'Non-Illuminated'}]]
Milwaukee Electric Tool	5211	['521', '5211']	04524202160								11.200		True	https://pacific.bloomreach.com/supplyglobal/products/4933040___4933040	4933040	MILW 5211 GRINDER STRAIGHT 3 11A	Milwaukee 5211 3 Diameter 11 Amp 120 V 14500 RPM 3/8, 24 Spindle Trigger Switch Straight Grinder	Milwaukee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4933040.jpg	14.31	9.02	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_251500000000', 'name': 'Power Tools & Attachments'}, {'id': 'NA_251503000000', 'name': 'Corded Power Tools'}, {'id': 'NA_251503400000', 'name': 'Sanders and Grinders'}, {'id': 'NA_251503400500', 'name': 'Grinders'}]]
Klein Tools	KT4802	['KT4', 'KT48', 'KT480', 'KT4802']	09264447758										True	https://pacific.bloomreach.com/supplyglobal/products/4939098___4939098	4939098	KLEIN KT4802 Parallel-Jaw Grip -	Klein KT4802 Parallel Jaw Cable Grip w/Hot Latch, 0.7 to 1.25 ASCR	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4939098.JPG	9.71	6.12	[[{'id': 'NA_160000000000', 'name': 'Fasteners & Hardware'}, {'id': 'NA_160300000000', 'name': 'Cable, Chain & Rope'}, {'id': 'NA_160302000000', 'name': 'Fittings & Accessories'}, {'id': 'NA_160302200000', 'name': 'Rope Grab Hardware'}]]
Rockwell Automation	800T-FX9D1	['800', '800T', '800T-', '800T-F', '800T-FX', '800T-FX9', '800T-FX9D', '800T-FX9D1']	66246819950		Yellow						0.311	30mm Push-Pull Device	True	https://pacific.bloomreach.com/supplyglobal/products/4939554___4939554	4939554	AB 800T-FX9D1 30mm Push-Pull Device	A-B 800T-FX9D1 30mm Push-Pull Device 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4939554.jpg	10.54	6.64	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040200', 'name': 'Non-Illuminated'}]]
Schneider Electric	XZCP1141L5	['XZC', 'XZCP', 'XZCP1', 'XZCP11', 'XZCP114', 'XZCP1141', 'XZCP1141L', 'XZCP1141L5']	78590117165	GENERAL PURPOSE					5M	250 V AC-300 V DC	0.470	PRE-WIRED CONNECTORS	True	https://pacific.bloomreach.com/supplyglobal/products/4940512___4940512	4940512	SQD XZCP1141L5 PHOTOELECTRIC SENSOR	Square-D XZCP1141L5 5 m 300 Volt 4 Amp 4-Pole Black Straight Photoelectric Sensor Connector Cable	Schneider Electric	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4940512	7.83	4.93	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120200000000', 'name': 'Control System Connection Devices'}, {'id': 'NA_120203000000', 'name': 'Control System Connection Cables'}]]
Legrand-Pass & Seymour	4887-Y	['488', '4887', '4887-', '4887-Y']	78500704604	Commercial	Yellow			Nylon	4.75	125 V	0.150	Connector	True	https://pacific.bloomreach.com/supplyglobal/products/4942025___4942025	4942025	PS 4887-Y 15A 125V 2P 3W CONNECTOR	Pass & Seymour 4887Y Yellow Medium Duty Connector	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4942025.jpg	8.62	5.43	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240400000000', 'name': 'Plugs & Connectors'}, {'id': 'NA_240404000000', 'name': 'Straight Blade Devices'}, {'id': 'NA_240404010000', 'name': 'Connectors'}]]
The 3M Company	H-708R	['H-7', 'H-70', 'H-708', 'H-708R']	07837164204	For Automotive, Commercial Buildings, Construction, Design and Construction, Facility Sanitation, Food Processing, Food Safety, General Manufacturing, Heavy Infrastructure, Industrial Maintenance, Metal Fabrication, Military Maintenance, Repair and Operation (MRO), Mining, Oil and Gas, Pharmaceutical, Transportation	Gray			HDPE	Universal			Short Brim, Cap Style, Variable Position Knob, Class E, Class G	True	https://pacific.bloomreach.com/supplyglobal/products/4943262___4943262	4943262	3M 64204 H-708R Hard Hat, 4-Point	3M 64204 H-708R Hard Hat w/ 4-Point Ratchet Suspension - Gray (20/Case)	3M	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4943262.jpg	7.08	4.46	[[{'id': 'NA_220000000000', 'name': 'Safety Products'}, {'id': 'NA_220900000000', 'name': 'Personal Protective Equipment'}, {'id': 'NA_220908000000', 'name': 'Hard Hats & Head Protections'}, {'id': 'NA_220908070000', 'name': 'Hard Hats'}]]
Rockwell Automation	800T-FX6AP	['800', '800T', '800T-', '800T-F', '800T-FX', '800T-FX6', '800T-FX6A', '800T-FX6AP']	66207315315		Red						0.379	30mm Push-Pull Device	True	https://pacific.bloomreach.com/supplyglobal/products/4943857___4943857	4943857	AB 800T-FX6AP 30mm Push-Pull Device	A-B 800T-FX6AP 30mm Push-Pull Device 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4943857.jpg	14.63	9.22	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040200', 'name': 'Non-Illuminated'}]]
The 3M Company	4540+BLK-XL	['454', '4540', '4540+', '4540+B', '4540+BL', '4540+BLK', '4540+BLK-', '4540+BLK-X', '4540+BLK-XL']	05113149808										True	https://pacific.bloomreach.com/supplyglobal/products/4944831___4944831	4944831	3M 4540+BLK-XL Disposable	3M 49808 Disposable Protective Coverall Safety Work Wear 4540+BLK-XL 25/Case	3M	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4944831.jpg	14.61	9.21	[[{'id': 'NA_220000000000', 'name': 'Safety Products'}, {'id': 'NA_220900000000', 'name': 'Personal Protective Equipment'}, {'id': 'NA_221100000000', 'name': 'Safety Apparel'}, {'id': 'NA_221105000000', 'name': 'Disposable Clothing'}]]
Rockwell Automation	800T-FXA5	['800', '800T', '800T-', '800T-F', '800T-FX', '800T-FXA', '800T-FXA5']	66207346241		Silver						0.340	30mm Push-Pull Device	True	https://pacific.bloomreach.com/supplyglobal/products/4945936___4945936	4945936	AB 800T-FXA5 30mm Push-Pull Device	A-B 800T-FXA5 30mm Push-Pull Device 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4945936.jpg	13.24	8.34	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040200', 'name': 'Non-Illuminated'}]]
Schneider Electric	9001KR1SH5	['900', '9001', '9001K', '9001KR', '9001KR1', '9001KR1S', '9001KR1SH', '9001KR1SH5']	78590103339						30-MM	600V	0.500	PUSH-BUTTON	True	https://pacific.bloomreach.com/supplyglobal/products/4946337___4946337	4946337	SQD 9001KR1SH5 PUSH BUTTON 600VAC	Schneider Electric 9001KR1SH5 30 mm 10 Amp 600 VAC Push Button	Schneider Electric	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4946337	9.12	5.75	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040200', 'name': 'Non-Illuminated'}]]
Ideal Industries	44-358	['44-', '44-3', '44-35', '44-358']	78325044358	Identify Junction Boxes, Switches, Circuit Breakers, Raceways, Pipe and Fuse Boxes			4-1/2 In	Vinyl-Impregnated Cloth	1-1/8 IN Width		0.500	Voltage And Conduit, Medium	True	https://pacific.bloomreach.com/supplyglobal/products/515093___515093	515093	IDEAL 44-358 240V COND MARKER CARD	IDEAL 44-358 Voltage & Conduit Marker Card 240V 1-1/8 x 4-1/2 Vinyl-Impregnated Cloth	IDEAL	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_515093.jpg	8.48	5.34	[[{'id': 'NA_220000000000', 'name': 'Safety'}, {'id': 'NA_221300000000', 'name': 'Warning Signs & Labels'}, {'id': 'NA_221309000000', 'name': 'Labels and Markers'}, {'id': 'NA_221309020000', 'name': 'Identification Labels'}]]
Panduit	SST1.5M-C	['SST', 'SST1', 'SST1.', 'SST1.5', 'SST1.5M', 'SST1.5M-', 'SST1.5M-C']	07498350022	General	Natural			Nylon 6.6			0.115	Cable Ties	True	https://pacific.bloomreach.com/supplyglobal/products/549129___549129	549129	PAND SST1.5M-C RELEASABLE CBL TIE	Panduit SST1.5M-C Cable Tie, 2-Piece, 5.5L (140mm), Miniature, Nylon, Natural	Panduit	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_549129.jpg	11.19	7.05	[[{'id': 'NA_270000000000', 'name': 'Connectors, Marking, & Termination'}, {'id': 'NA_270100000000', 'name': 'Wire Bundling'}, {'id': 'NA_270104000000', 'name': 'Cable Ties'}]]
Panduit	PLT1.5M-C	['PLT', 'PLT1', 'PLT1.', 'PLT1.5', 'PLT1.5M', 'PLT1.5M-', 'PLT1.5M-C']	07498354015	General	Natural			Nylon 6.6			0.200	Cable Ties	True	https://pacific.bloomreach.com/supplyglobal/products/575364___575364	575364	PAND PLT1.5M-C LOCKING TIE         	Panduit PLT1.5M-C Cable Tie, 5.6L (142mm), Miniature, Nylon, Natural	Panduit	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_575364.jpg	8.34	5.25	[[{'id': 'NA_270000000000', 'name': 'Connectors, Marking, & Termination'}, {'id': 'NA_270100000000', 'name': 'Wire Bundling'}, {'id': 'NA_270104000000', 'name': 'Cable Ties'}]]
