manufacturer	catalog_number	catalog_number_partialvalue	master_upc	application_en	application	color_en	color	height	length	material_en	material	size_en	size	voltage_rating	weight	type_en	type	availability	url	pid	title_en	title	description_en	description	brand	thumb_image	price	sale_price	category_paths
Rockwell Automation	800T-FX9A4	['800', '800T', '800T-', '800T-F', '800T-FX', '800T-FX9', '800T-FX9A', '800T-FX9A4']	66207311437		 	Yellow	Gelb				 		 		0.331	30mm Push-Pull Device	30-mm-Schub-Zug-Gerät	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4875833___4875833	4875833	AB 800T-FX9A4 30mm Push-Pull Device	AB 800T-FX9A4 30mm Push-Pull-Gerät	A-B 800T-FX9A4 30mm Push-Pull Device 800T PB	A-B 800T-FX9A4 30mm Push-Pull-Gerät 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4875833.jpg	13.46	8.48	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040200', 'name': 'Non-Illuminated'}]]
Rockwell Automation	800T-FXLE6	['800', '800T', '800T-', '800T-F', '800T-FX', '800T-FXL', '800T-FXLE', '800T-FXLE6']	66207493862		 	Red	Rot				 		 		0.331	30mm Push-Pull Device	30-mm-Schub-Zug-Gerät	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4877465___4877465	4877465	AB 800T-FXLE6 30mm Push-Pull Device	AB 800T-FXLE6 30mm Push-Pull-Gerät	A-B 800T-FXLE6 30mm Push-Pull Device 800T PB	A-B 800T-FXLE6 30mm Push-Pull-Gerät 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4877465.jpg	13.16	8.29	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040200', 'name': 'Non-Illuminated'}]]
Rockwell Automation	800T-FXA	['800', '800T', '800T-', '800T-F', '800T-FX', '800T-FXA']	61132022873		 	Silver	Silber				 		 		0.311	30mm Push-Pull Device	30-mm-Schub-Zug-Gerät	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4877598___4877598	4877598	AB 800T-FXA 30mm Push-Pull Device	AB 800T-FXA 30mm Push-Pull-Gerät	A-B 800T-FXA 30mm Push-Pull Device 800T PB	A-B 800T-FXA 30mm Push-Pull-Gerät 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4877598.jpg	13.54	8.53	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040200', 'name': 'Non-Illuminated'}]]
Legrand-Pass & Seymour	L830-C	['L83', 'L830', 'L830-', 'L830-C']	78500728301	Commercial	Kommerziell	Black/White	Schwarz/Weiß			Thermoplastic	Thermoplast	3.4	3.4	480 V	0.405	Connector	Anschluss	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4881432___4881432	4881432	PS L830-C CONNECTOR 3W30A480V T/L	PS L830-C STECKVERBINDER 3W30A480V T/L	Pass & Seymour L830-C 30 Amp 480 VAC 2-Pole 3-Wire L8-30R Black and White Nylon Locking Connector	Pass & Seymour L830-C 30 A 480 V AC 2-polig 3-adrig L8-30R Schwarz-Weiß Nylon-Verriegelungsstecker	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4881432.jpg	13.8	8.69	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240400000000', 'name': 'Plugs & Connectors'}, {'id': 'NA_240405000000', 'name': 'Twist Lock Devices'}, {'id': 'NA_240405020000', 'name': 'Connectors'}]]
Rockwell Automation	800T-FXD1	['800', '800T', '800T-', '800T-F', '800T-FX', '800T-FXD', '800T-FXD1']	66207337614		 	Silver	Silber				 		 		0.5	30mm Push-Pull Device	30-mm-Schub-Zug-Gerät	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4882099___4882099	4882099	AB 800T-FXD1 30mm Push-Pull Device	AB 800T-FXD1 30mm Push-Pull-Gerät	A-B 800T-FXD1 30mm Push-Pull Device 800T PB	A-B 800T-FXD1 30mm Push-Pull-Gerät 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4882099.jpg	5.79	3.64	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040200', 'name': 'Non-Illuminated'}]]
The 3M Company	4520-BLK-M	['452', '4520', '4520-', '4520-B', '4520-BL', '4520-BLK', '4520-BLK-', '4520-BLK-M']	4671963263		 		 				 		 				 	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4884762___4884762	4884762	3M 4520-BLK-M Disposable Protective	3M 4520-BLK-M Einweg-Schutzkleidung	3M 63263 Disposable Protective Coverall Safety Work Wear 4520-BLK-M 25/Case	3M 63263 Einweg-Schutzoverall, Sicherheitsarbeitskleidung 4520-BLK-M, 25 Stück/Karton	3M	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4884762.jpg	5.4	3.4	[[{'id': 'NA_220000000000', 'name': 'Safety Products'}, {'id': 'NA_220900000000', 'name': 'Personal Protective Equipment'}, {'id': 'NA_221100000000', 'name': 'Safety Apparel'}, {'id': 'NA_221105000000', 'name': 'Disposable Clothing'}]]
The 3M Company	4510-BLK-XL	['451', '4510', '4510-', '4510-B', '4510-BL', '4510-BLK', '4510-BLK-', '4510-BLK-X', '4510-BLK-XL']	5113149790	Pesticide Application; Powder Handling; Painting; Abatement & Remediation; Food Processing; Cleaning & Maintenance; Pharmaceutical Processing	Pestizidanwendung; Pulverhandhabung; Lackierarbeiten; Schadstoffsanierung; Lebensmittelverarbeitung; Reinigung und Instandhaltung; Pharmazeutische Verarbeitung	White	Weiß				 	X-Large (Regular Fit)	XL (Normale Passform)			Protective Coverall	Schutzoverall	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4884768___4884768	4884768	3M 4510-BLK-XL Disposable	3M 4510-BLK-XL Einweg	3M 49790 Disposable Protective Coverall Safety Work Wear 4510-BLK-XL 25/Case	3M 49790 Einweg-Schutzoverall, Sicherheitsarbeitskleidung 4510-BLK-XL, 25 Stück/Karton	3M	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4884768.jpg	13.28	8.37	[[{'id': 'NA_220000000000', 'name': 'Safety Products'}, {'id': 'NA_220900000000', 'name': 'Personal Protective Equipment'}, {'id': 'NA_221100000000', 'name': 'Safety Apparel'}, {'id': 'NA_221109000000', 'name': 'Protection Clothing'}, {'id': 'NA_221109110000', 'name': 'Coveralls'}]]
The 3M Company	4510-BLK-XXL	['451', '4510', '4510-', '4510-B', '4510-BL', '4510-BLK', '4510-BLK-', '4510-BLK-X', '4510-BLK-XX', '4510-BLK-XXL']	5113149791		 	White	Weiß				 	2X-Large (Regular Fit)	2XL (Normale Passform)			Disposable	Einweg	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4884771___4884771	4884771	3M 4510-BLK-XXL Disposable	3M 4510-BLK-XXL Einweg	3M 49791 Disposable Protective Coverall Safety Work Wear 4510-BLK-XXL 25/Case	3M 49791 Einweg-Schutzoverall, Arbeitskleidung 4510-BLK-XXL, 25 Stück/Karton	3M	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4884771.jpg	11.76	7.41	[[{'id': 'NA_220000000000', 'name': 'Safety Products'}, {'id': 'NA_220900000000', 'name': 'Personal Protective Equipment'}, {'id': 'NA_221100000000', 'name': 'Safety Apparel'}, {'id': 'NA_221102000000', 'name': 'Chemical Splash-Resistant Clothing'}, {'id': 'NA_221102050000', 'name': 'Chemical Resistant Coveralls'}]]
The 3M Company	4520-BLK-L	['452', '4520', '4520-', '4520-B', '4520-BL', '4520-BLK', '4520-BLK-', '4520-BLK-L']	4671963264		 		 				 		 				 	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4884772___4884772	4884772	3M 4520-BLK-L Disposable Protective	3M 4520-BLK-L Einweg-Schutzkleidung	3M 63264 Disposable Protective Coverall Safety Work Wear 4520-BLK-L 25/Case	3M 63264 Einweg-Schutzoverall, Arbeitskleidung 4520-BLK-L, 25 Stück/Karton	3M	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4884772.jpg	7.27	4.58	[[{'id': 'NA_220000000000', 'name': 'Safety Products'}, {'id': 'NA_220900000000', 'name': 'Personal Protective Equipment'}, {'id': 'NA_221100000000', 'name': 'Safety Apparel'}, {'id': 'NA_221105000000', 'name': 'Disposable Clothing'}]]
The 3M Company	4520-BLK-XL	['452', '4520', '4520-', '4520-B', '4520-BL', '4520-BLK', '4520-BLK-', '4520-BLK-X', '4520-BLK-XL']	4671963266		 		 				 		 				 	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4884773___4884773	4884773	3M 4520-BLK-XL Disposable	3M 4520-BLK-XL Einweg	3M 63266 Disposable Protective Coverall Safety Work Wear 4520-BLK-XL 25/Case	3M 63266 Einweg-Schutzoverall, Sicherheitsarbeitskleidung 4520-BLK-XL, 25 Stück/Karton	3M	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4884773.jpg	6.36	4.01	[[{'id': 'NA_220000000000', 'name': 'Safety Products'}, {'id': 'NA_220900000000', 'name': 'Personal Protective Equipment'}, {'id': 'NA_221100000000', 'name': 'Safety Apparel'}, {'id': 'NA_221105000000', 'name': 'Disposable Clothing'}]]
The 3M Company	4520-BLK-XXL	['452', '4520', '4520-', '4520-B', '4520-BL', '4520-BLK', '4520-BLK-', '4520-BLK-X', '4520-BLK-XX', '4520-BLK-XXL']	4671963267		 	White	Weiß			SMMMS Fabric	SMMMS-Gewebe	2X-Large	2XL			Disposable	Einweg	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4884774___4884774	4884774	3M 4520-BLK-XXL Disposable	3M 4520-BLK-XXL Einweg	3M 63267 Disposable Protective Coverall Safety Work Wear 4520-BLK-XXL 25/Case	3M 63267 Einweg-Schutzoverall, Arbeitskleidung 4520-BLK-XXL, 25 Stück/Karton	3M	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4884774.jpg	12.1	7.62	[[{'id': 'NA_220000000000', 'name': 'Safety Products'}, {'id': 'NA_220900000000', 'name': 'Personal Protective Equipment'}, {'id': 'NA_221100000000', 'name': 'Safety Apparel'}, {'id': 'NA_221102000000', 'name': 'Chemical Splash-Resistant Clothing'}, {'id': 'NA_221102050000', 'name': 'Chemical Resistant Coveralls'}]]
Legrand-Pass & Seymour	AF-15TR	['AF-', 'AF-1', 'AF-15', 'AF-15T', 'AF-15TR']	78500702967	Residential	Wohnen		 				 	1.27 Depth x 1.68 Width x 4.21 Height	1,27 Tiefe x 1,68 Breite x 4,21 Höhe	125 V	0	TradeMaster� Tamper-Resitant Outlet Branch Circuit AFCI Outlet	TradeMaster®-Sicherheitssteckdose mit Fehlerstromschutzschalter (AFCI)	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4885213___4885213	4885213	PS AF-15TR AFCI RECEPTACLE TR 15A	PS AF-15TR AFCI-Steckdose TR 15A	Pass & Seymour AF-15TR 15 Amp 125 VAC NEMA 5-15R Brown Thermoplastic Face Tamper-Resistant Duplex AFCI Receptacle	Pass & Seymour AF-15TR 15 Ampere 125 V AC NEMA 5-15R Braune thermoplastische Frontplatte, manipulationssichere Doppelsteckdose mit AFCI-Schutzschalter	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4885213.jpg	14.94	9.41	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240600000000', 'name': 'Receptacles'}, {'id': 'NA_240601000000', 'name': 'GFCI & AFCI'}, {'id': 'NA_240601010000', 'name': 'Duplex'}]]
Legrand-Pass & Seymour	AF-20TR	['AF-', 'AF-2', 'AF-20', 'AF-20T', 'AF-20TR']	78500702968	Residential	Wohnen		 				 	1.27 Depth x 1.68 Width x 4.21 Height	1,27 Tiefe x 1,68 Breite x 4,21 Höhe	125 V	0	TradeMaster� Tamper-Resitant Outlet Branch Circuit AFCI Outlet	TradeMaster®-Sicherheitssteckdose mit Fehlerstromschutzschalter (AFCI)	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4885217___4885217	4885217	PS AF-20TR AFCI RECEPTACLE TR 20A	PS AF-20TR AFCI-Steckdose TR 20A	Pass & Seymour AF-20TR 20 Amp 125 VAC NEMA 5-20R Brown Thermoplastic Face Tamper-Resistant Duplex AFCI Receptacle	Pass & Seymour AF-20TR 20 Ampere 125 V AC NEMA 5-20R Braune thermoplastische Frontplatte Kindersicherungs-Doppelsteckdose mit AFCI	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4885217.jpg	14.17	8.93	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240600000000', 'name': 'Receptacles'}, {'id': 'NA_240601000000', 'name': 'GFCI & AFCI'}, {'id': 'NA_240601010000', 'name': 'Duplex'}]]
Legrand-Pass & Seymour	AF-20TRBK	['AF-', 'AF-2', 'AF-20', 'AF-20T', 'AF-20TR', 'AF-20TRB', 'AF-20TRBK']	78500702963		 		 				 		 		0		 	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4885218___4885218	4885218	PS AF-20TRBK AFCI RECEPTACLE TR 20A	PS AF-20TRBK AFCI-Steckdose TR 20A	Pass & Seymour AF-20TRBK 20 Amp 125 VAC NEMA 5-20R Black Thermoplastic Face Tamper-Resistant Duplex AFCI Receptacle	Pass & Seymour AF-20TRBK 20 Ampere 125 V AC NEMA 5-20R Schwarze thermoplastische Frontplatte Kindersicherungs-Doppelsteckdose mit AFCI	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4885218.jpg	14.98	9.44	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240600000000', 'name': 'Receptacles'}, {'id': 'NA_240601000000', 'name': 'GFCI & AFCI'}, {'id': 'NA_240601010000', 'name': 'Duplex'}]]
Rockwell Automation	1492-CJLJ6-10-B	['149', '1492', '1492-', '1492-C', '1492-CJ', '1492-CJL', '1492-CJLJ', '1492-CJLJ6', '1492-CJLJ6-', '1492-CJLJ6-1', '1492-CJLJ6-10', '1492-CJLJ6-10-', '1492-CJLJ6-10-B']	78118075072	for Use With 1492-J4, J4M	Zur Verwendung mit 1492-J4, J4M	Blue	Blau				 		 		0.017	Center Jumper	Center Jumper	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4886099___4886099	4886099	AB 1492-CJLJ6-10-B IEC Center	AB 1492-CJLJ6-10-B IEC Center	A-B 1492-CJLJ6-10-B IEC Center Jumper, 10 PL 6mm, Plug-In	A-B 1492-CJLJ6-10-B IEC-Mittelbrückenstecker, 10 PL 6 mm, Steckverbindung	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4886099.jpg	8.33	5.25	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_121300000000', 'name': 'Terminal Blocks, Wiring Systems & Connectors'}, {'id': 'NA_121305000000', 'name': 'Terminal Block Accessories'}, {'id': 'NA_121305160000', 'name': 'Shorting Links/Jumpers'}]]
Klein Tools	213-9ST	['213', '213-', '213-9', '213-9S', '213-9ST']	9264470310		 		 				 		 		1.06	Ironworker's Work Pliers - High-Leverage	Eisenflechterzange - Hochleistungshebel	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4886853___4886853	4886853	KLEIN 213-9ST Rebar Work Pliers	KLEIN 213-9ST Bewehrungszange	Klein 213-9ST Rebar Work Pliers with Plain Handle	Klein 213-9ST Bewehrungszange mit glattem Griff	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4886853.jpg	11.53	7.26	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_250800000000', 'name': 'Hand Tools'}, {'id': 'NA_250855000000', 'name': 'Pliers'}, {'id': 'NA_250855090000', 'name': 'Linemans Pliers'}]]
Klein Tools	D201-8	['D20', 'D201', 'D201-', 'D201-8']	9264470013		 	Dark Blue	Dunkelblau				 		 		1	Side-Cutting Pliers - Standard	Seitenschneider - Standard	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4886856___4886856	4886856	KLEIN D201-8 8 Side-Cutting Pliers	KLEIN D201-8 8 Seitenschneider	Klein D201-8 8 Side-Cutting Pliers	Klein D201-8 8 Seitenschneider	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4886856.jpg	12.35	7.78	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_250800000000', 'name': 'Hand Tools'}, {'id': 'NA_250855000000', 'name': 'Pliers'}, {'id': 'NA_250855260000', 'name': 'Special Purpose Pliers'}]]
Klein Tools	D511-6	['D51', 'D511', 'D511-', 'D511-6']	9264473202		 		 				 		 		0.42	Slip Joint Pliers	Gleitgelenkzange	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4886980___4886980	4886980	KLEIN D511-6 6 Slip-Joint Pliers	KLEIN D511-6 6 Kombizange	Klein D511-6 6 Slip-Joint Pliers	Klein D511-6 6 Kombizange	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4886980.jpg	5.59	3.52	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_250800000000', 'name': 'Hand Tools'}, {'id': 'NA_250855000000', 'name': 'Pliers'}, {'id': 'NA_250855250000', 'name': 'Slip Joint Pliers'}]]
Klein Tools	D511-8	['D51', 'D511', 'D511-', 'D511-8']	9264473206		 	Blue	Blau				 		 		0.62	Slip Joint Pliers	Gleitgelenkzange	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4886982___4886982	4886982	KLEIN D511-8 8 Slip-Joint Pliers	KLEIN D511-8 8 Kombizange	Klein D511-8 8 Slip-Joint Pliers	Klein D511-8 8 Kombizange	Klein Tools	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4886982.jpg	7.38	4.65	[[{'id': 'NA_250000000000', 'name': 'Tools & Instruments'}, {'id': 'NA_250800000000', 'name': 'Hand Tools'}, {'id': 'NA_250855000000', 'name': 'Pliers'}, {'id': 'NA_250855250000', 'name': 'Slip Joint Pliers'}]]
Schneider Electric	9001SKS42	['900', '9001', '9001S', '9001SK', '9001SKS', '9001SKS4', '9001SKS42']	78590195984		 		 				 	30-MM	30 mm	600V	0.2	PUSH-BUTTON	DRÜCKEN-KNOPF	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4888323___4888323	4888323	SQD 9001SKS42 30MM Push Button	SQD 9001SKS42 30MM Drucktaster	Schneider Electric 9001SKS42 30 mm 3-Position Maintained Non-Illuminated Selector Switch Operator	Schneider Electric 9001SKS42 30 mm 3-Positionen-Wahlschalter mit Rastfunktion, unbeleuchtet	Schneider Electric	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4888323	9.08	5.72	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120910000000', 'name': 'Selector Switches'}, {'id': 'NA_120910040000', 'name': '30mm'}, {'id': 'NA_120910040200', 'name': 'Non-Illuminated'}]]
Legrand-Pass & Seymour	RCD113BK	['RCD', 'RCD1', 'RCD11', 'RCD113', 'RCD113B', 'RCD113BK']	78500705473	Residential	Wohnen		 				 	Depth 1.43 x Width 1.29 x Height 3.81	Tiefe 1,43 x Breite 1,29 x Höhe 3,81	120 V	0.2	Two Single Pole Switches & Single Pole/3-Way	Zwei einpolige Schalter & einpoliger/3-Wege-Schalter	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4888821___4888821	4888821	PS RCD113BK RADIANT 3 SWITCH,	PS RCD113BK RADIANT 3-SCHALTER,	RADIANT 3 SWITCH, SP/3-WAY + SP + SP BK	RADIANT 3-SCHALTER, SP/3-WEGE + SP + SP BK	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4888821.jpg	10.96	6.91	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703030000', 'name': 'Paddle Switches'}]]
Rockwell Automation	800T-A208WD1	['800', '800T', '800T-', '800T-A', '800T-A2', '800T-A20', '800T-A208', '800T-A208W', '800T-A208WD', '800T-A208WD1']	88495177928		 		 				 		 		0.267		 	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4891683___4891683	4891683	AB 800T-A208WD1 30mm Push Button	AB 800T-A208WD1 30mm Druckknopf	A-B 800T-A208WD1 30mm Push Button	A-B 800T-A208WD1 30mm Druckknopf	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4891683.jpg	12.41	7.82	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040200', 'name': 'Non-Illuminated'}]]
Milwaukee Electric Tool	401G-XL	['401', '401G', '401G-', '401G-X', '401G-XL']	4524247840		 	Gray	Grau			Polyester	Polyester	XL	XL		0.5		 	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4891771___4891771	4891771	MILW 401G-XL GRAY COLD BASE LS - XL	MILW 401G-XL GRAU KALTBASIS LS - XL	Milwaukee 401G-XL WorkSkin&#8482; Mid Weight Base Layer - Gray	Milwaukee 401G-XL WorkSkin® Mittelschwere Funktionsunterwäsche - Grau	Milwaukee	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4891771.jpg	11.33	7.14	[[{'id': 'NA_220000000000', 'name': 'Safety Products'}, {'id': 'NA_220900000000', 'name': 'Personal Protective Equipment'}, {'id': 'NA_221100000000', 'name': 'Safety Apparel'}, {'id': 'NA_221109000000', 'name': 'Protection Clothing'}, {'id': 'NA_221109090000', 'name': 'Cold Environment Protection'}]]
Rockwell Automation	800T-FXJ6	['800', '800T', '800T-', '800T-F', '800T-FX', '800T-FXJ', '800T-FXJ6']	66207323816		 	Red	Rot				 		 		0.26	30mm Push-Pull Device	30-mm-Schub-Zug-Gerät	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4892827___4892827	4892827	AB 800T-FXJ6 30mm Push-Pull Device	AB 800T-FXJ6 30mm Push-Pull-Gerät	A-B 800T-FXJ6 30mm Push-Pull Device 800T PB	A-B 800T-FXJ6 30mm Push-Pull-Gerät 800T PB	Allen-Bradley	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4892827.jpg	12.36	7.78	[[{'id': 'NA_120000000000', 'name': 'Automation & Controls'}, {'id': 'NA_120900000000', 'name': 'Operators'}, {'id': 'NA_120909000000', 'name': 'Push Buttons'}, {'id': 'NA_120909040000', 'name': '30mm'}, {'id': 'NA_120909040200', 'name': 'Non-Illuminated'}]]
Legrand-Pass & Seymour	5261-W	['526', '5261', '5261-', '5261-W']	78500752615	Commercial	Kommerziell	White	Weiß			Nylon	Nylon	1.32 L x 1.093 W x 3.68 H In	1,32 L x 1,093 B x 3,68 H Zoll	125 V	0.177	Spec Grade Single Receptacle, Heavy Duty	Hochleistungs-Einzelsteckdose in Spezialqualität	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4893816___4893816	4893816	PS 5261-W Single Receptacle, HD	PS 5261-W Einzelsteckdose, HD	Pass & Seymour 5261-W Single Receptacle, HD Spec Grade, 15A 125V Back & Side Wired - White	Pass & Seymour 5261-W Einzelsteckdose, HD-Ausführung, 15 A, 125 V, rück- und seitlich verdrahtet – Weiß	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4893816.jpg	14.67	9.24	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240600000000', 'name': 'Receptacles'}, {'id': 'NA_240607000000', 'name': 'Straight Blade'}, {'id': 'NA_240607030000', 'name': 'Single'}]]
Legrand-Pass & Seymour	ASPU1532-M4	['ASP', 'ASPU', 'ASPU1', 'ASPU15', 'ASPU153', 'ASPU1532', 'ASPU1532-', 'ASPU1532-M', 'ASPU1532-M4']	78500702284		 	Magnesium	Magnesium				 	1.5 (D) x .089 (W) x 1.77 (H)	1,5 (T) x 0,089 (B) x 1,77 (H)	120 V	0.17	Push 15A Switch, Magnesium	15-A-Druckschalter, Magnesium	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4895068___4895068	4895068	PS ASPU1532-M4 PUSH SWITCH 2MOD 15A	PS ASPU1532-M4 Druckschalter 2-fach 15A	PUSH SWITCH 2MOD 15A SP/3W MG	DRUCKSCHALTER 2 MOD 15A SP/3W MG	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4895068.jpg	8.83	5.56	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703100000', 'name': 'Wall Pushbutton Switch'}]]
Legrand-Pass & Seymour	ASTH1532-M2	['AST', 'ASTH', 'ASTH1', 'ASTH15', 'ASTH153', 'ASTH1532', 'ASTH1532-', 'ASTH1532-M', 'ASTH1532-M2']	78500702274		 	Magnesium	Magnesium				 	1.5 (D) x .089 (W) x 1.77 (H)	1,5 (T) x 0,089 (B) x 1,77 (H)	120 V	0.14	Touch 15A Switch, Magnesium	Berührungsschalter 15A, Magnesium	TRUE	https://pacific.bloomreach.com/supplyglobal/products/4895072___4895072	4895072	PS ASTH1532-M2 TOUCH SWITCH 2MOD	PS ASTH1532-M2 Berührungsschalter 2-Modus	Pass & Seymour ASTH1532M2 1-Pole 3-Way 15 Amp 120 VAC Magnesium Touch Switch	Pass & Seymour ASTH1532M2 1-poliger 3-Wege-Magnesium-Berührungsschalter, 15 A, 120 V AC	Legrand	https://pacific-demo-data.bloomreach.cloud/supply/images/thumbimage_pid_4895072.jpg	10	6.3	[[{'id': 'NA_240000000000', 'name': 'Wiring Devices & Wallplates'}, {'id': 'NA_240700000000', 'name': 'Switches'}, {'id': 'NA_240703000000', 'name': 'Wall Switches'}, {'id': 'NA_240703020000', 'name': 'Dimmer Switches'}, {'id': 'NA_240703020300', 'name': 'Residential Dimmers'}]]
